Topology,Number of Nodes,Algorithm,Latency (ms),Throughput (Mbps),Routing Overhead (packets),Network Utilization (%),Execution Time (s),Weights
ring,90,Path Vector,2275.2808988764045,0.0035159257610305147,16200,71.2,0.16836881637573242,constant
ring,100,Distance Vector,250.0,0.7999746568030179,200,200.0,0.21819686889648438,constant
ring,100,Link State,250.0,0.7999746568030179,200,200.0,0.023904085159301758,constant
ring,100,Path Vector,2525.252525252525,0.003167899640939951,20000,79.2,0.2290186882019043,constant
ring,110,Distance Vector,275.0,0.7999769395078883,220,242.0,0.2987508773803711,constant
ring,110,Link State,275.0,0.7999769395078883,220,242.0,0.030699968338012695,constant
ring,110,Path Vector,2775.2293577981654,0.0028825615340945395,24200,87.2,0.30698490142822266,constant
ring,120,Distance Vector,300.0,0.7999788450040058,240,288.0,0.4095742702484131,constant
ring,120,Link State,300.0,0.7999788450040058,240,288.0,0.03751778602600098,constant
ring,120,Path Vector,3025.2100840336134,0.002644374515429908,28800,95.19999999999999,0.39527392387390137,constant
ring,130,Distance Vector,325.0,0.7999804596487867,260,338.0,0.44045114517211914,constant
ring,130,Link State,325.0,0.7999804596487867,260,338.0,0.042278289794921875,constant
ring,130,Path Vector,3275.1937984496126,0.0024425438886317985,33800,103.2,0.45523500442504883,constant
ring,140,Distance Vector,350.0,0.7999818453097085,280,392.0,0.5436758995056152,constant
ring,140,Link State,350.0,0.7999818453097085,280,392.0,0.05142092704772949,constant
